index_col,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",1,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,128,128,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",1,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,128,128,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",2,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,128,128,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",2,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,128,128,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",3,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,129,129,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",3,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,60,60,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",3,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,188,188,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",3,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,129,129,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",3,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,60,248,0.24193548387096775
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",3,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,188,248,0.7580645161290323
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",4,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,60,60,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",4,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,186,186,1.0
