,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
1,59,b,c,us-west-1,us-west-1,377,377,1.0
2,59,frontend,a,us-east-1,us-east-1,96,96,1.0
3,59,frontend,a,us-west-1,us-east-1,138,515,0.26796116504854367
4,59,frontend,a,us-west-1,us-west-1,377,515,0.7320388349514563
5,59,c,d,us-east-1,us-east-1,234,234,1.0
6,59,c,d,us-west-1,us-west-1,377,377,1.0
7,59,a,b,us-east-1,us-east-1,234,234,1.0
8,59,a,b,us-west-1,us-west-1,377,377,1.0
9,59,SOURCE,frontend,XXXX,us-east-1,96,610,0.15737704918032788
10,59,SOURCE,frontend,XXXX,us-west-1,514,610,0.8426229508196721
0,60,b,c,us-east-1,us-east-1,220,220,1.0
1,60,b,c,us-west-1,us-west-1,374,374,1.0
2,60,frontend,a,us-east-1,us-east-1,94,94,1.0
3,60,frontend,a,us-west-1,us-east-1,126,500,0.252
4,60,frontend,a,us-west-1,us-west-1,374,500,0.748
5,60,c,d,us-east-1,us-east-1,220,220,1.0
6,60,c,d,us-west-1,us-west-1,374,374,1.0
7,60,a,b,us-east-1,us-east-1,220,220,1.0
8,60,a,b,us-west-1,us-west-1,374,374,1.0
9,60,SOURCE,frontend,XXXX,us-east-1,94,593,0.15851602023608768
10,60,SOURCE,frontend,XXXX,us-west-1,499,593,0.8414839797639123
0,61,b,c,us-east-1,us-east-1,107,107,1.0
1,61,b,c,us-west-1,us-west-1,299,299,1.0
2,61,frontend,a,us-east-1,us-east-1,106,106,1.0
3,61,frontend,a,us-west-1,us-west-1,299,299,1.0
4,61,c,d,us-east-1,us-east-1,107,107,1.0
5,61,c,d,us-west-1,us-west-1,299,299,1.0
6,61,a,b,us-east-1,us-east-1,107,107,1.0
7,61,a,b,us-west-1,us-west-1,299,299,1.0
8,61,SOURCE,frontend,XXXX,us-east-1,106,405,0.2617283950617284
9,61,SOURCE,frontend,XXXX,us-west-1,299,405,0.7382716049382716
