,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
3,21,a,b,us-east-1,us-east-1,104,104,1.0
4,21,frontend,a,us-west-1,us-west-1,349,349,1.0
5,21,frontend,a,us-east-1,us-east-1,104,104,1.0
6,21,SOURCE,frontend,XXXX,us-west-1,349,453,0.7704194260485652
7,21,SOURCE,frontend,XXXX,us-east-1,104,453,0.22958057395143489
0,22,b,c,us-west-1,us-west-1,385,385,1.0
1,22,b,c,us-east-1,us-west-1,115,115,1.0
2,22,a,b,us-west-1,us-west-1,384,384,1.0
3,22,a,b,us-east-1,us-east-1,115,115,1.0
4,22,frontend,a,us-west-1,us-west-1,384,384,1.0
5,22,frontend,a,us-east-1,us-east-1,115,115,1.0
6,22,SOURCE,frontend,XXXX,us-west-1,384,499,0.7695390781563126
7,22,SOURCE,frontend,XXXX,us-east-1,115,499,0.23046092184368738
0,23,b,c,us-west-1,us-west-1,375,375,1.0
1,23,b,c,us-east-1,us-west-1,108,108,1.0
2,23,a,b,us-west-1,us-west-1,374,374,1.0
3,23,a,b,us-east-1,us-east-1,108,108,1.0
4,23,frontend,a,us-west-1,us-west-1,374,374,1.0
5,23,frontend,a,us-east-1,us-east-1,108,108,1.0
6,23,SOURCE,frontend,XXXX,us-west-1,374,482,0.7759336099585062
7,23,SOURCE,frontend,XXXX,us-east-1,108,482,0.22406639004149378
0,24,b,c,us-west-1,us-west-1,395,395,1.0
1,24,b,c,us-east-1,us-west-1,99,99,1.0
2,24,a,b,us-west-1,us-west-1,395,395,1.0
3,24,a,b,us-east-1,us-east-1,98,98,1.0
4,24,frontend,a,us-west-1,us-west-1,395,395,1.0
5,24,frontend,a,us-east-1,us-east-1,98,98,1.0
6,24,SOURCE,frontend,XXXX,us-west-1,395,493,0.8012170385395537
7,24,SOURCE,frontend,XXXX,us-east-1,98,493,0.19878296146044624
0,25,b,c,us-west-1,us-west-1,413,413,1.0
1,25,b,c,us-east-1,us-west-1,88,88,1.0
2,25,a,b,us-west-1,us-west-1,413,413,1.0
3,25,a,b,us-east-1,us-east-1,88,88,1.0
4,25,frontend,a,us-west-1,us-west-1,413,413,1.0
5,25,frontend,a,us-east-1,us-east-1,87,87,1.0
6,25,SOURCE,frontend,XXXX,us-west-1,413,500,0.826
7,25,SOURCE,frontend,XXXX,us-east-1,87,500,0.174
0,26,b,c,us-west-1,us-west-1,430,430,1.0
1,26,b,c,us-east-1,us-west-1,95,95,1.0
2,26,a,b,us-west-1,us-west-1,430,430,1.0
3,26,a,b,us-east-1,us-east-1,95,95,1.0
4,26,frontend,a,us-west-1,us-west-1,430,430,1.0
5,26,frontend,a,us-east-1,us-east-1,94,94,1.0
6,26,SOURCE,frontend,XXXX,us-west-1,430,524,0.8206106870229007
7,26,SOURCE,frontend,XXXX,us-east-1,94,524,0.17938931297709923
0,27,b,c,us-west-1,us-west-1,370,370,1.0
1,27,b,c,us-east-1,us-west-1,91,91,1.0
2,27,a,b,us-west-1,us-west-1,370,370,1.0
3,27,a,b,us-east-1,us-east-1,90,90,1.0
4,27,frontend,a,us-west-1,us-west-1,370,370,1.0
5,27,frontend,a,us-east-1,us-east-1,90,90,1.0
6,27,SOURCE,frontend,XXXX,us-west-1,370,460,0.8043478260869565
7,27,SOURCE,frontend,XXXX,us-east-1,90,460,0.1956521739130435
0,28,b,c,us-west-1,us-west-1,392,392,1.0
1,28,b,c,us-east-1,us-west-1,107,107,1.0
2,28,a,b,us-west-1,us-west-1,392,392,1.0
3,28,a,b,us-east-1,us-east-1,106,106,1.0
4,28,frontend,a,us-west-1,us-west-1,392,392,1.0
5,28,frontend,a,us-east-1,us-east-1,106,106,1.0
6,28,SOURCE,frontend,XXXX,us-west-1,392,498,0.7871485943775101
7,28,SOURCE,frontend,XXXX,us-east-1,106,498,0.21285140562248997
0,29,b,c,us-west-1,us-west-1,399,399,1.0
1,29,b,c,us-east-1,us-west-1,118,118,1.0
2,29,a,b,us-west-1,us-west-1,399,399,1.0
3,29,a,b,us-east-1,us-east-1,117,117,1.0
4,29,frontend,a,us-west-1,us-west-1,399,399,1.0
5,29,frontend,a,us-east-1,us-east-1,117,117,1.0
6,29,SOURCE,frontend,XXXX,us-west-1,399,516,0.7732558139534884
7,29,SOURCE,frontend,XXXX,us-east-1,117,516,0.22674418604651161
0,30,b,c,us-west-1,us-west-1,397,397,1.0
1,30,b,c,us-east-1,us-west-1,85,85,1.0
2,30,a,b,us-west-1,us-west-1,397,397,1.0
3,30,a,b,us-east-1,us-east-1,85,85,1.0
4,30,frontend,a,us-west-1,us-west-1,397,397,1.0
5,30,frontend,a,us-east-1,us-east-1,84,84,1.0
6,30,SOURCE,frontend,XXXX,us-west-1,397,481,0.8253638253638254
7,30,SOURCE,frontend,XXXX,us-east-1,84,481,0.17463617463617465
0,31,b,c,us-west-1,us-west-1,429,429,1.0
1,31,b,c,us-east-1,us-west-1,82,82,1.0
2,31,a,b,us-west-1,us-west-1,429,429,1.0
3,31,a,b,us-east-1,us-east-1,82,82,1.0
4,31,frontend,a,us-west-1,us-west-1,429,429,1.0
5,31,frontend,a,us-east-1,us-east-1,81,81,1.0
6,31,SOURCE,frontend,XXXX,us-west-1,429,510,0.8411764705882353
7,31,SOURCE,frontend,XXXX,us-east-1,81,510,0.1588235294117647
0,32,b,c,us-west-1,us-west-1,421,421,1.0
1,32,b,c,us-east-1,us-west-1,98,98,1.0
2,32,a,b,us-west-1,us-west-1,421,421,1.0
3,32,a,b,us-east-1,us-east-1,98,98,1.0
4,32,frontend,a,us-west-1,us-west-1,421,421,1.0
5,32,frontend,a,us-east-1,us-east-1,97,97,1.0
6,32,SOURCE,frontend,XXXX,us-west-1,421,518,0.8127413127413128
7,32,SOURCE,frontend,XXXX,us-east-1,97,518,0.18725868725868725
0,33,b,c,us-west-1,us-west-1,400,400,1.0
1,33,b,c,us-east-1,us-west-1,115,115,1.0
2,33,a,b,us-west-1,us-west-1,400,400,1.0
3,33,a,b,us-east-1,us-east-1,114,114,1.0
4,33,frontend,a,us-west-1,us-west-1,400,400,1.0
5,33,frontend,a,us-east-1,us-east-1,114,114,1.0
6,33,SOURCE,frontend,XXXX,us-west-1,400,514,0.7782101167315175
7,33,SOURCE,frontend,XXXX,us-east-1,114,514,0.22178988326848248
0,34,b,c,us-west-1,us-west-1,415,415,1.0
1,34,b,c,us-east-1,us-west-1,100,100,1.0
2,34,a,b,us-west-1,us-west-1,415,415,1.0
3,34,a,b,us-east-1,us-east-1,100,100,1.0
4,34,frontend,a,us-west-1,us-west-1,415,415,1.0
5,34,frontend,a,us-east-1,us-east-1,99,99,1.0
6,34,SOURCE,frontend,XXXX,us-west-1,415,514,0.8073929961089494
7,34,SOURCE,frontend,XXXX,us-east-1,99,514,0.1926070038910506
0,35,b,c,us-west-1,us-west-1,401,401,1.0
1,35,b,c,us-east-1,us-west-1,100,100,1.0
2,35,a,b,us-west-1,us-west-1,401,401,1.0
3,35,a,b,us-east-1,us-east-1,99,99,1.0
4,35,frontend,a,us-west-1,us-west-1,401,401,1.0
5,35,frontend,a,us-east-1,us-east-1,99,99,1.0
6,35,SOURCE,frontend,XXXX,us-west-1,401,500,0.802
7,35,SOURCE,frontend,XXXX,us-east-1,99,500,0.198
0,36,b,c,us-west-1,us-west-1,370,370,1.0
1,36,b,c,us-east-1,us-west-1,100,100,1.0
