,counter,src_svc,dst_svc,src_cid,dst_cid,flow,weight,total
3,21,b,c,us-east-1,us-west-1,-1,1.0,-1
4,21,a,b,us-east-1,us-east-1,-1,1.0,-1
5,21,b,c,us-west-1,us-west-1,-1,1.0,-1
6,21,a,b,us-west-1,us-west-1,-1,1.0,-1
0,22,frontend,a,us-east-1,us-east-1,400,0.6349206349206349,630
1,22,frontend,a,us-east-1,us-west-1,230,0.36507936507936506,630
2,22,frontend,a,us-west-1,us-west-1,117,1.0,117
3,22,b,c,us-east-1,us-west-1,-1,1.0,-1
4,22,a,b,us-east-1,us-east-1,-1,1.0,-1
5,22,b,c,us-west-1,us-west-1,-1,1.0,-1
6,22,a,b,us-west-1,us-west-1,-1,1.0,-1
0,23,frontend,a,us-east-1,us-east-1,400,0.6600660066006601,606
1,23,frontend,a,us-east-1,us-west-1,206,0.33993399339933994,606
2,23,frontend,a,us-west-1,us-west-1,104,1.0,104
3,23,b,c,us-east-1,us-west-1,-1,1.0,-1
4,23,a,b,us-east-1,us-east-1,-1,1.0,-1
5,23,b,c,us-west-1,us-west-1,-1,1.0,-1
6,23,a,b,us-west-1,us-west-1,-1,1.0,-1
0,24,frontend,a,us-east-1,us-east-1,400,0.6514657980456026,614
1,24,frontend,a,us-east-1,us-west-1,214,0.3485342019543974,614
2,24,frontend,a,us-west-1,us-west-1,100,1.0,100
3,24,b,c,us-east-1,us-west-1,-1,1.0,-1
4,24,a,b,us-east-1,us-east-1,-1,1.0,-1
5,24,b,c,us-west-1,us-west-1,-1,1.0,-1
6,24,a,b,us-west-1,us-west-1,-1,1.0,-1
0,25,frontend,a,us-east-1,us-east-1,400,0.684931506849315,584
1,25,frontend,a,us-east-1,us-west-1,184,0.3150684931506849,584
2,25,frontend,a,us-west-1,us-west-1,86,1.0,86
3,25,b,c,us-east-1,us-west-1,-1,1.0,-1
4,25,a,b,us-east-1,us-east-1,-1,1.0,-1
5,25,b,c,us-west-1,us-west-1,-1,1.0,-1
6,25,a,b,us-west-1,us-west-1,-1,1.0,-1
0,26,frontend,a,us-east-1,us-east-1,400,0.6578947368421053,608
1,26,frontend,a,us-east-1,us-west-1,208,0.34210526315789475,608
2,26,frontend,a,us-west-1,us-west-1,97,1.0,97
3,26,b,c,us-east-1,us-west-1,-1,1.0,-1
4,26,a,b,us-east-1,us-east-1,-1,1.0,-1
5,26,b,c,us-west-1,us-west-1,-1,1.0,-1
6,26,a,b,us-west-1,us-west-1,-1,1.0,-1
0,27,frontend,a,us-east-1,us-east-1,400,0.7380073800738007,542
1,27,frontend,a,us-east-1,us-west-1,142,0.26199261992619927,542
2,27,frontend,a,us-west-1,us-west-1,87,1.0,87
3,27,b,c,us-east-1,us-west-1,-1,1.0,-1
4,27,a,b,us-east-1,us-east-1,-1,1.0,-1
5,27,b,c,us-west-1,us-west-1,-1,1.0,-1
6,27,a,b,us-west-1,us-west-1,-1,1.0,-1
0,28,frontend,a,us-east-1,us-east-1,400,0.6791171477079796,589
1,28,frontend,a,us-east-1,us-west-1,189,0.32088285229202035,589
2,28,frontend,a,us-west-1,us-west-1,106,1.0,106
3,28,b,c,us-east-1,us-west-1,-1,1.0,-1
4,28,a,b,us-east-1,us-east-1,-1,1.0,-1
5,28,b,c,us-west-1,us-west-1,-1,1.0,-1
6,28,a,b,us-west-1,us-west-1,-1,1.0,-1
0,29,frontend,a,us-east-1,us-east-1,400,0.6451612903225806,620
1,29,frontend,a,us-east-1,us-west-1,220,0.3548387096774194,620
2,29,frontend,a,us-west-1,us-west-1,119,1.0,119
3,29,b,c,us-east-1,us-west-1,-1,1.0,-1
4,29,a,b,us-east-1,us-east-1,-1,1.0,-1
5,29,b,c,us-west-1,us-west-1,-1,1.0,-1
6,29,a,b,us-west-1,us-west-1,-1,1.0,-1
0,30,frontend,a,us-east-1,us-east-1,400,0.6825938566552902,586
1,30,frontend,a,us-east-1,us-west-1,186,0.3174061433447099,586
2,30,frontend,a,us-west-1,us-west-1,82,1.0,82
3,30,b,c,us-east-1,us-west-1,-1,1.0,-1
4,30,a,b,us-east-1,us-east-1,-1,1.0,-1
5,30,b,c,us-west-1,us-west-1,-1,1.0,-1
6,30,a,b,us-west-1,us-west-1,-1,1.0,-1
0,31,frontend,a,us-east-1,us-east-1,400,0.6666666666666666,600
1,31,frontend,a,us-east-1,us-west-1,200,0.3333333333333333,600
2,31,frontend,a,us-west-1,us-west-1,81,1.0,81
3,31,b,c,us-east-1,us-west-1,-1,1.0,-1
4,31,a,b,us-east-1,us-east-1,-1,1.0,-1
5,31,b,c,us-west-1,us-west-1,-1,1.0,-1
6,31,a,b,us-west-1,us-west-1,-1,1.0,-1
0,32,frontend,a,us-east-1,us-east-1,400,0.6872852233676976,582
1,32,frontend,a,us-east-1,us-west-1,182,0.3127147766323024,582
2,32,frontend,a,us-west-1,us-west-1,98,1.0,98
3,32,b,c,us-east-1,us-west-1,-1,1.0,-1
4,32,a,b,us-east-1,us-east-1,-1,1.0,-1
5,32,b,c,us-west-1,us-west-1,-1,1.0,-1
6,32,a,b,us-west-1,us-west-1,-1,1.0,-1
0,33,frontend,a,us-east-1,us-east-1,400,0.7079646017699115,565
1,33,frontend,a,us-east-1,us-west-1,165,0.2920353982300885,565
2,33,frontend,a,us-west-1,us-west-1,112,1.0,112
3,33,b,c,us-east-1,us-west-1,-1,1.0,-1
4,33,a,b,us-east-1,us-east-1,-1,1.0,-1
5,33,b,c,us-west-1,us-west-1,-1,1.0,-1
6,33,a,b,us-west-1,us-west-1,-1,1.0,-1
