mc12c6,mc12c6@POST@/light,mc12c6@POST@/light,3.3774998677739246e-07
mc12c6,mc12c6@POST@/light,intercept,1.1930213104655616
mc46a6,mc46a6@POST@/light,mc46a6@POST@/light,-1.0764859891692809e-07
mc46a6,mc46a6@POST@/light,intercept,1.549430641988858
mc660d,mc660d@POST@/light,mc660d@POST@/light,3.697397085276576e-07
mc660d,mc660d@POST@/light,intercept,1.1673112678051798
sslateingress,sslateingress@POST@/light,sslateingress@POST@/light,6.29534191579915e-06
sslateingress,sslateingress@POST@/light,intercept,3.2035708854069864
db10bb,db10bb@POST@/light,db10bb@POST@/light,1.051772055098571e-07
db10bb,db10bb@POST@/light,intercept,2.1903116562714517
s222f,s222f@POST@/light,s222f@POST@/light,6.140316034867574e-06
s222f,s222f@POST@/light,intercept,2.359189294187897
sd03b,sd03b@POST@/light,sd03b@POST@/light,2.048862003428575e-06
sd03b,sd03b@POST@/light,intercept,5.509202329376414
s4dd6,s4dd6@POST@/light,s4dd6@POST@/light,9.073949493043157e-07
s4dd6,s4dd6@POST@/light,intercept,3.5030536283797518
db3dd1,db3dd1@POST@/light,db3dd1@POST@/light,3.6786222484197635e-07
db3dd1,db3dd1@POST@/light,intercept,2.1468944402724
mc01d6,mc01d6@POST@/light,mc01d6@POST@/light,1.8648827919401952e-07
mc01d6,mc01d6@POST@/light,intercept,1.3567883478301475
s6f83,s6f83@POST@/light,s6f83@POST@/light,8.505907200417018e-06
s6f83,s6f83@POST@/light,intercept,4.659410782853114
saaee,saaee@POST@/light,saaee@POST@/light,5.701741984176737e-06
saaee,saaee@POST@/light,intercept,1.9536625626102575
mc9653,mc9653@POST@/light,mc9653@POST@/light,1.2022587873467012e-07
mc9653,mc9653@POST@/light,intercept,1.3613886063698926
dbd1b5,dbd1b5@POST@/light,dbd1b5@POST@/light,5.383405298620099e-07
dbd1b5,dbd1b5@POST@/light,intercept,2.0398815918172115
mc59ee,mc59ee@POST@/light,mc59ee@POST@/light,3.161164189827697e-07
mc59ee,mc59ee@POST@/light,intercept,1.2852549252802214
mcc324,mcc324@POST@/light,mcc324@POST@/light,2.645722123528203e-07
mcc324,mcc324@POST@/light,intercept,1.306025115415548
mc676c,mc676c@POST@/light,mc676c@POST@/light,7.083441778258903e-08
mc676c,mc676c@POST@/light,intercept,1.3364752940062476
db2af0,db2af0@POST@/light,db2af0@POST@/light,7.664961922398008e-07
db2af0,db2af0@POST@/light,intercept,1.9248776973387256
mcd096,mcd096@POST@/light,mcd096@POST@/light,3.0823650476584186e-08
mcd096,mcd096@POST@/light,intercept,1.4600667217052
