svc,region,podname,avg_latency,outbound_rps,time,time_millis,old-us-east-1,old-us-west-1,new-us-east-1,new-us-west-1
sslateingress-us-west-1,us-west-1,sgpvx,329,0,2024-09-08 00:04:29.965588,1725753869965,0.340000,0.650000,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,339,0,2024-09-08 00:04:44.973432,1725753884973,0.360000,0.630000,0.340000,0.650000
sslateingress-us-west-1,us-west-1,sgpvx,432,0,2024-09-08 00:04:59.969654,1725753899969,0.40273037542662116,0.5972696245733788,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,406,0,2024-09-08 00:05:14.974284,1725753914974,0.380000,0.610000,0.400000,0.590000
sslateingress-us-west-1,us-west-1,sgpvx,344,0,2024-09-08 00:05:29.982822,1725753929982,0.400000,0.590000,0.420000,0.570000
sslateingress-us-west-1,us-west-1,sgpvx,327,0,2024-09-08 00:05:44.974798,1725753944974,0.420000,0.570000,0.440000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,317,0,2024-09-08 00:05:59.972661,1725753959972,0.440000,0.540000,0.460000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,298,0,2024-09-08 00:06:14.974158,1725753974974,0.460000,0.520000,0.480000,0.500000
sslateingress-us-west-1,us-west-1,sgpvx,372,0,2024-09-08 00:06:29.973856,1725753989973,0.34210526315789475,0.6578947368421053,0.320000,0.670000
sslateingress-us-west-1,us-west-1,sgpvx,263,0,2024-09-08 00:06:44.975019,1725754004975,0.320000,0.670000,0.340000,0.650000
sslateingress-us-west-1,us-west-1,sgpvx,287,0,2024-09-08 00:06:59.978349,1725754019978,0.340000,0.650000,0.320000,0.670000
sslateingress-us-west-1,us-west-1,sgpvx,256,0,2024-09-08 00:07:14.978117,1725754034978,0.320000,0.670000,0.340000,0.650000
sslateingress-us-west-1,us-west-1,sgpvx,329,0,2024-09-08 00:07:29.983817,1725754049983,0.340000,0.650000,0.320000,0.670000
sslateingress-us-west-1,us-west-1,sgpvx,315,0,2024-09-08 00:07:44.994664,1725754064994,0.320000,0.670000,0.340000,0.650000
sslateingress-us-west-1,us-west-1,sgpvx,279,0,2024-09-08 00:07:59.990051,1725754079990,0.340000,0.650000,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,257,0,2024-09-08 00:08:14.991850,1725754094991,0.360000,0.630000,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,346,0,2024-09-08 00:08:29.989504,1725754109989,0.380000,0.610000,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,306,0,2024-09-08 00:08:44.991624,1725754124991,0.360000,0.630000,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,256,0,2024-09-08 00:08:59.991535,1725754139991,0.380000,0.610000,0.400000,0.590000
sslateingress-us-west-1,us-west-1,sgpvx,281,0,2024-09-08 00:09:14.988862,1725754154988,0.400000,0.590000,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,294,0,2024-09-08 00:09:29.988761,1725754169988,0.380000,0.610000,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,257,0,2024-09-08 00:09:44.992747,1725754184992,0.360000,0.630000,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,249,0,2024-09-08 00:09:59.993189,1725754199993,0.380000,0.610000,0.400000,0.590000
sslateingress-us-west-1,us-west-1,sgpvx,330,0,2024-09-08 00:10:14.992881,1725754214992,0.400000,0.590000,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,320,0,2024-09-08 00:10:29.998077,1725754229998,0.380000,0.610000,0.400000,0.590000
sslateingress-us-west-1,us-west-1,sgpvx,263,0,2024-09-08 00:10:44.996897,1725754244996,0.400000,0.590000,0.420000,0.570000
sslateingress-us-west-1,us-west-1,sgpvx,258,0,2024-09-08 00:10:59.996809,1725754259996,0.420000,0.570000,0.440000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,258,0,2024-09-08 00:11:14.999449,1725754274999,0.440000,0.540000,0.420000,0.560000
sslateingress-us-west-1,us-west-1,sgpvx,371,0,2024-09-08 00:11:29.998021,1725754289998,0.420000,0.560000,0.400000,0.580000
sslateingress-us-west-1,us-west-1,sgpvx,271,0,2024-09-08 00:11:45.005291,1725754305005,0.400000,0.580000,0.420000,0.550000
sslateingress-us-west-1,us-west-1,sgpvx,266,0,2024-09-08 00:12:00.003474,1725754320003,0.420000,0.550000,0.440000,0.530000
sslateingress-us-west-1,us-west-1,sgpvx,259,0,2024-09-08 00:12:15.002671,1725754335002,0.440000,0.530000,0.460000,0.510000
sslateingress-us-west-1,us-west-1,sgpvx,280,0,2024-09-08 00:12:30.000921,1725754350000,0.460000,0.510000,0.440000,0.530000
sslateingress-us-west-1,us-west-1,sgpvx,287,0,2024-09-08 00:12:45.007694,1725754365007,0.440000,0.530000,0.420000,0.550000
sslateingress-us-west-1,us-west-1,sgpvx,323,0,2024-09-08 00:13:00.010717,1725754380010,0.420000,0.550000,0.400000,0.570000
sslateingress-us-west-1,us-west-1,sgpvx,275,0,2024-09-08 00:13:15.009973,1725754395009,0.400000,0.570000,0.420000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,377,0,2024-09-08 00:13:30.012886,1725754410012,0.420000,0.540000,0.400000,0.560000
sslateingress-us-west-1,us-west-1,sgpvx,369,0,2024-09-08 00:13:45.020565,1725754425020,0.400000,0.560000,0.420000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,330,0,2024-09-08 00:14:00.020046,1725754440020,0.420000,0.540000,0.440000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,379,0,2024-09-08 00:14:15.021083,1725754455021,0.440000,0.520000,0.420000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,321,0,2024-09-08 00:14:30.030004,1725754470030,0.420000,0.540000,0.440000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,318,0,2024-09-08 00:14:45.024923,1725754485024,0.440000,0.520000,0.460000,0.500000
sslateingress-us-west-1,us-west-1,sgpvx,317,0,2024-09-08 00:15:00.028407,1725754500028,0.460000,0.500000,0.480000,0.480000
sslateingress-us-west-1,us-west-1,sgpvx,279,0,2024-09-08 00:15:15.037624,1725754515037,0.480000,0.480000,0.500000,0.460000
sslateingress-us-west-1,us-west-1,sgpvx,282,0,2024-09-08 00:15:30.037962,1725754530037,0.500000,0.460000,0.480000,0.480000
sslateingress-us-west-1,us-west-1,sgpvx,300,0,2024-09-08 00:15:45.042161,1725754545042,0.480000,0.480000,0.460000,0.500000
sslateingress-us-west-1,us-west-1,sgpvx,329,0,2024-09-08 00:16:00.043410,1725754560043,0.460000,0.500000,0.440000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,311,0,2024-09-08 00:16:15.045958,1725754575045,0.440000,0.520000,0.460000,0.500000
sslateingress-us-west-1,us-west-1,sgpvx,347,0,2024-09-08 00:16:30.044075,1725754590044,0.460000,0.500000,0.440000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,287,0,2024-09-08 00:16:45.042743,1725754605042,0.440000,0.520000,0.460000,0.500000
sslateingress-us-west-1,us-west-1,sgpvx,287,0,2024-09-08 00:17:00.043142,1725754620043,0.460000,0.500000,0.440000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,314,0,2024-09-08 00:17:15.042961,1725754635042,0.440000,0.520000,0.420000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,319,0,2024-09-08 00:17:30.043284,1725754650043,0.420000,0.540000,0.400000,0.560000
sslateingress-us-west-1,us-west-1,sgpvx,328,0,2024-09-08 00:17:45.043025,1725754665043,0.400000,0.560000,0.380000,0.580000
sslateingress-us-west-1,us-west-1,sgpvx,304,0,2024-09-08 00:18:00.043507,1725754680043,0.380000,0.580000,0.400000,0.550000
sslateingress-us-west-1,us-west-1,sgpvx,315,0,2024-09-08 00:18:15.043546,1725754695043,0.400000,0.550000,0.380000,0.570000
