svc_name, endpoint, coef
b,b@POST@/spreadb,{'b@POST@/spreadb': 0, 'intercept': 0}
a,a@POST@/spreada,{'a@POST@/spreada': 0, 'intercept': 0}
frontend,frontend@GET@/start,{'frontend@GET@/start': 0, 'intercept': 0}
c,c@POST@/spreadc,{'c@POST@/spreadc': 0, 'intercept': 0}
