svc_name, endpoint, coef
b,b@POST@/spreadb,{'b@POST@/spreadb': 0.12994490652913396, 'intercept': 1}
a,a@POST@/spreada,{'a@POST@/spreada': 0.10996815902028849, 'intercept': 1}
frontend,frontend@GET@/start,{'frontend@GET@/start': 0.02498663197070751, 'intercept': 1.73940902471877}
c,c@POST@/spreadc,{'c@POST@/spreadc': 0.0903749674781072, 'intercept': 1}
