svc_name, endpoint, coef
compute-node,compute-node@POST@/write1mb,{'compute-node@POST@/write1mb': 0, 'intercept': 0}
compute-node,compute-node@POST@/write10kb,{'compute-node@POST@/write10kb': 0, 'intercept': 0}
frontend,frontend@POST@/write1mb,{'frontend@POST@/write1mb': 0, 'intercept': 0}
frontend,frontend@POST@/write10kb,{'frontend@POST@/write10kb': 0, 'intercept': 0}
