,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,b,c,us-east-1,us-west-1,293,293,1.0
1,1,b,c,us-west-1,us-west-1,294,294,1.0
2,1,a,b,us-east-1,us-east-1,293,294,0.9965986394557823
3,1,a,b,us-east-1,us-west-1,1,294,0.003401360544217687
4,1,a,b,us-west-1,us-west-1,293,293,1.0
5,1,frontend,a,us-east-1,us-east-1,294,372,0.7903225806451613
6,1,frontend,a,us-east-1,us-west-1,78,372,0.20967741935483872
7,1,frontend,a,us-west-1,us-west-1,215,215,1.0
8,1,SOURCE,frontend,XXXX,us-east-1,371,586,0.6331058020477816
9,1,SOURCE,frontend,XXXX,us-west-1,215,586,0.36689419795221845
0,2,b,c,us-east-1,us-west-1,225,225,1.0
1,2,b,c,us-west-1,us-west-1,226,226,1.0
2,2,a,b,us-east-1,us-east-1,225,226,0.995575221238938
3,2,a,b,us-east-1,us-west-1,1,226,0.004424778761061947
4,2,a,b,us-west-1,us-west-1,225,225,1.0
5,2,frontend,a,us-east-1,us-east-1,226,247,0.9149797570850202
6,2,frontend,a,us-east-1,us-west-1,21,247,0.08502024291497975
7,2,frontend,a,us-west-1,us-west-1,204,204,1.0
8,2,SOURCE,frontend,XXXX,us-east-1,246,450,0.5466666666666666
9,2,SOURCE,frontend,XXXX,us-west-1,204,450,0.4533333333333333
0,3,b,c,us-east-1,us-west-1,326,326,1.0
1,3,b,c,us-west-1,us-west-1,327,327,1.0
2,3,a,b,us-east-1,us-east-1,326,327,0.9969418960244648
3,3,a,b,us-east-1,us-west-1,1,327,0.0030581039755351682
4,3,a,b,us-west-1,us-west-1,326,326,1.0
5,3,frontend,a,us-east-1,us-east-1,327,473,0.6913319238900634
6,3,frontend,a,us-east-1,us-west-1,146,473,0.3086680761099366
7,3,frontend,a,us-west-1,us-west-1,180,180,1.0
8,3,SOURCE,frontend,XXXX,us-east-1,472,652,0.7239263803680982
9,3,SOURCE,frontend,XXXX,us-west-1,180,652,0.27607361963190186
0,4,b,c,us-east-1,us-west-1,180,180,1.0
1,4,b,c,us-west-1,us-west-1,198,198,1.0
2,4,a,b,us-east-1,us-east-1,180,180,1.0
3,4,a,b,us-west-1,us-west-1,198,198,1.0
4,4,frontend,a,us-east-1,us-east-1,180,180,1.0
5,4,frontend,a,us-west-1,us-west-1,197,197,1.0
6,4,SOURCE,frontend,XXXX,us-east-1,180,377,0.47745358090185674
7,4,SOURCE,frontend,XXXX,us-west-1,197,377,0.5225464190981433
0,5,b,c,us-east-1,us-west-1,183,183,1.0
1,5,b,c,us-west-1,us-west-1,209,209,1.0
2,5,a,b,us-east-1,us-east-1,183,183,1.0
3,5,a,b,us-west-1,us-west-1,209,209,1.0
4,5,frontend,a,us-east-1,us-east-1,183,183,1.0
5,5,frontend,a,us-west-1,us-west-1,208,208,1.0
6,5,SOURCE,frontend,XXXX,us-east-1,183,391,0.4680306905370844
7,5,SOURCE,frontend,XXXX,us-west-1,208,391,0.5319693094629157
0,6,b,c,us-east-1,us-west-1,293,293,1.0
1,6,b,c,us-west-1,us-west-1,293,293,1.0
