,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
22,us-west-1,s4dd6,POST,/light,cdbc74914034d8070119f3962d2e2569,76484d2f1b7685aa,6646f6e0c0e49b05,5.0,13.0,8.0,2.0,8.0,-1,s4dd6@POST@/light:1|,s4dd6@POST@/light:87|
23,us-west-1,db2af0,POST,/light,cdbc74914034d8070119f3962d2e2569,3fa3a2929f9780cd,872f5bf52c274535,7.0,10.0,3.0,3.0,3.0,-1,db2af0@POST@/light:18446744073709551186|,db2af0@POST@/light:102|
24,us-west-1,mcd096,POST,/light,cdbc74914034d8070119f3962d2e2569,24309d1094e86f5c,1fc7e700b7a7996c,9.0,10.0,1.0,1.0,1.0,-1,mcd096@POST@/light:18446744073709551202|,mcd096@POST@/light:102|
25,us-west-1,db10bb,POST,/light,cdbc74914034d8070119f3962d2e2569,fa52a2c5d77ea023,1fc7e700b7a7996c,9.0,11.0,2.0,2.0,2.0,-1,db10bb@POST@/light:18446744073709551180|,db10bb@POST@/light:96|
26,us-west-1,mcc324,POST,/light,cdbc74914034d8070119f3962d2e2569,316d634c28ab81d8,1fc7e700b7a7996c,9.0,10.0,1.0,1.0,1.0,-1,mcc324@POST@/light:1|,mcc324@POST@/light:96|
27,us-west-1,sslateingress,POST,/light,cdbc74914034d8070119f3962d2e2569,0119f3962d2e2569,nan,0.0,16.0,16.0,3.0,16.0,-1,sslateingress@POST@/light:1|,sslateingress@POST@/light:60|
28,us-west-1,db3dd1,POST,/light,cdbc74914034d8070119f3962d2e2569,903eccfc0aa93ca7,7d6f0a03191bcc79,7.0,10.0,3.0,3.0,3.0,-1,db3dd1@POST@/light:18446744073709551181|,db3dd1@POST@/light:105|
29,us-west-1,dbd1b5,POST,/light,cdbc74914034d8070119f3962d2e2569,348c3a8cd6574a95,1fc7e700b7a7996c,8.0,10.0,2.0,2.0,2.0,-1,dbd1b5@POST@/light:18446744073709551190|,dbd1b5@POST@/light:72|
30,us-west-1,mc59ee,POST,/light,cdbc74914034d8070119f3962d2e2569,666c153ccd3df143,872f5bf52c274535,7.0,8.0,1.0,1.0,1.0,-1,mc59ee@POST@/light:1|,mc59ee@POST@/light:93|
31,us-west-1,sd03b,POST,/light,cdbc74914034d8070119f3962d2e2569,1fc7e700b7a7996c,76484d2f1b7685aa,7.0,13.0,6.0,4.0,6.0,-1,sd03b@POST@/light:1|,sd03b@POST@/light:75|
