index_col,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",34,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,108,449,0.24053452115812918
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",34,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,341,449,0.7594654788418709
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",34,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,89,89,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",34,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,447,447,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",34,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,108,556,0.19424460431654678
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",34,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,448,556,0.8057553956834532
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",34,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,89,536,0.166044776119403
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",34,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,447,536,0.8339552238805971
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",35,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,87,87,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",35,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,123,460,0.2673913043478261
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",35,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,337,460,0.7326086956521739
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",35,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,85,85,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",35,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,467,467,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",35,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,87,546,0.15934065934065933
